"","YEAR","NUMB_VEHC","CITY"
"1",2013,2,"Boston"
"2",2013,1,"Boston"
"3",2013,2,"Boston"
"4",2013,1,"Boston"
"5",2013,2,"Boston"
"6",2013,2,"Boston"
"7",2013,4,"Boston"
"8",2013,1,"Boston"
"9",2013,2,"Boston"
"10",2013,1,"Boston"
"11",2013,1,"Boston"
"12",2013,2,"Boston"
"13",2013,2,"Boston"
"14",2013,3,"Boston"
"15",2013,2,"Boston"
"16",2013,2,"Boston"
"17",2013,1,"Boston"
"18",2013,1,"Boston"
"19",2013,2,"Boston"
"20",2013,1,"Boston"
"21",2013,2,"Boston"
"22",2013,2,"Boston"
"23",2013,2,"Boston"
"24",2013,1,"Boston"
"25",2013,2,"Boston"
"26",2013,2,"Boston"
"27",2013,2,"Boston"
"28",2013,2,"Boston"
"29",2013,2,"Boston"
"30",2013,2,"Boston"
"31",2013,1,"Boston"
"32",2013,2,"Boston"
"33",2013,2,"Boston"
"34",2013,1,"Boston"
"35",2013,1,"Boston"
"36",2013,2,"Boston"
"37",2013,1,"Boston"
"38",2013,2,"Boston"
"39",2013,2,"Boston"
"40",2013,2,"Boston"
"41",2013,2,"Boston"
"42",2013,2,"Boston"
"43",2013,2,"Boston"
"44",2013,3,"Boston"
"45",2013,3,"Boston"
"46",2013,1,"Boston"
"47",2013,2,"Boston"
"48",2013,2,"Boston"
"49",2013,3,"Boston"
"50",2013,4,"Boston"
"51",2013,2,"Boston"
"52",2013,3,"Boston"
"53",2013,4,"Boston"
"54",2013,3,"Boston"
"55",2013,2,"Boston"
"56",2013,2,"Boston"
"57",2013,2,"Boston"
"58",2013,2,"Boston"
"59",2013,2,"Boston"
"60",2013,1,"Boston"
"61",2013,3,"Boston"
"62",2013,2,"Boston"
"63",2013,1,"Boston"
"64",2013,2,"Boston"
"65",2013,2,"Boston"
"66",2013,2,"Boston"
"67",2013,1,"Boston"
"68",2013,3,"Boston"
"69",2013,2,"Boston"
"70",2013,2,"Boston"
"71",2013,1,"Boston"
"72",2013,1,"Boston"
"73",2013,2,"Boston"
"74",2013,2,"Boston"
"75",2013,2,"Boston"
"76",2013,3,"Boston"
"77",2013,2,"Boston"
"78",2013,2,"Boston"
"79",2013,1,"Boston"
"80",2013,2,"Boston"
"81",2013,2,"Boston"
"82",2013,2,"Boston"
"83",2013,3,"Boston"
"84",2013,1,"Boston"
"85",2013,2,"Boston"
"86",2013,2,"Boston"
"87",2013,1,"Boston"
"88",2013,3,"Boston"
"89",2013,3,"Boston"
"90",2013,2,"Boston"
"91",2013,2,"Boston"
"92",2013,2,"Boston"
"93",2013,2,"Boston"
"94",2013,2,"Boston"
"95",2013,2,"Boston"
"96",2013,2,"Boston"
"97",2013,1,"Boston"
"98",2013,2,"Boston"
"99",2013,1,"Boston"
"100",2013,1,"Boston"
"101",2013,2,"Boston"
"102",2013,2,"Boston"
"103",2013,2,"Boston"
"104",2013,2,"Boston"
"105",2013,2,"Boston"
"106",2013,2,"Boston"
"107",2013,2,"Boston"
"108",2013,1,"Boston"
"109",2013,2,"Boston"
"110",2013,2,"Boston"
"111",2013,2,"Boston"
"112",2013,3,"Boston"
"113",2013,1,"Boston"
"114",2013,1,"Boston"
"115",2013,2,"Boston"
"116",2013,2,"Boston"
"117",2013,3,"Boston"
"118",2013,2,"Boston"
"119",2013,1,"Boston"
"120",2013,1,"Boston"
"121",2013,1,"Boston"
"122",2013,2,"Boston"
"123",2013,2,"Boston"
"124",2013,2,"Boston"
"125",2013,2,"Boston"
"126",2013,1,"Boston"
"127",2013,2,"Boston"
"128",2013,2,"Boston"
"129",2013,1,"Boston"
"130",2013,2,"Boston"
"131",2013,2,"Boston"
"132",2013,2,"Boston"
"133",2013,3,"Boston"
"134",2013,2,"Boston"
"135",2013,2,"Boston"
"136",2013,2,"Boston"
"137",2013,2,"Boston"
"138",2013,2,"Boston"
"139",2013,1,"Boston"
"140",2013,1,"Boston"
"141",2013,2,"Boston"
