"","YEAR","NUMB_VEHC","CITY","AGE_DRVR_YNGST","AGE_DRVR_OLDEST","SPEED_LIMIT"
"1",2013,2,"Boston","35-44","55-64",30
"2",2013,1,"Boston","25-34","25-34",25
"3",2013,2,"Boston","35-44","55-64",40
"4",2013,1,"Boston","18-20","18-20",35
"5",2013,2,"Boston","25-34","35-44",35
"6",2013,2,"Boston","25-34","25-34",35
"7",2013,4,"Boston","25-34","25-34",30
"8",2013,1,"Boston","35-44","35-44",30
"9",2013,2,"Boston","18-20","25-34",30
"10",2013,1,"Boston","45-54","45-54",30
"11",2013,1,"Boston","25-34","25-34",30
"12",2013,2,"Boston","25-34","35-44",25
"13",2013,2,"Boston","35-44","35-44",25
"14",2013,3,"Boston","21-24","35-44",55
"15",2013,2,"Boston","25-34","45-54",55
"16",2013,2,"Boston","25-34","25-34",35
"17",2013,1,"Boston","25-34","25-34",30
"18",2013,1,"Boston",NA,NA,25
"19",2013,2,"Boston","21-24","25-34",30
"20",2013,1,"Boston","25-34","25-34",40
"21",2013,2,"Boston","21-24","25-34",55
"22",2013,2,"Boston","18-20","65-74",55
"23",2013,2,"Boston","45-54","55-64",NA
"24",2013,1,"Boston","35-44","35-44",35
"25",2013,2,"Boston","25-34","45-54",NA
"26",2013,2,"Boston","45-54","45-54",NA
"27",2013,2,"Boston","25-34","35-44",45
"28",2013,2,"Boston","55-64","55-64",45
"29",2013,2,"Boston","18-20","45-54",45
"30",2013,2,"Boston","21-24","45-54",55
"31",2013,1,"Boston","25-34","25-34",NA
"32",2013,2,"Boston","21-24","25-34",45
"33",2013,2,"Boston","21-24","45-54",45
"34",2013,1,"Boston","55-64","55-64",35
"35",2013,1,"Boston","25-34","25-34",45
"36",2013,2,"Boston","35-44","35-44",35
"37",2013,1,"Boston","18-20","18-20",20
"38",2013,2,"Boston","35-44","55-64",45
"39",2013,2,"Boston","45-54","45-54",25
"40",2013,2,"Boston","25-34","45-54",25
"41",2013,2,"Boston","25-34","25-34",45
"42",2013,2,"Boston","21-24","25-34",35
"43",2013,2,"Boston","25-34","45-54",45
"44",2013,3,"Boston","25-34","45-54",30
"45",2013,3,"Boston","25-34","45-54",45
"46",2013,1,"Boston","21-24","21-24",45
"47",2013,2,"Boston","25-34","45-54",35
"48",2013,2,"Boston","21-24","21-24",45
"49",2013,3,"Boston","18-20","25-34",30
"50",2013,4,"Boston","35-44","45-54",35
"51",2013,2,"Boston","25-34","35-44",55
"52",2013,3,"Boston","25-34","55-64",35
"53",2013,4,"Boston","35-44","55-64",55
"54",2013,3,"Boston","21-24","35-44",45
"55",2013,2,"Boston","21-24","35-44",55
"56",2013,2,"Boston","35-44","35-44",35
"57",2013,2,"Boston","35-44","35-44",45
"58",2013,2,"Boston","21-24","35-44",55
"59",2013,2,"Boston","35-44","45-54",45
"60",2013,1,"Boston","55-64","55-64",45
"61",2013,3,"Boston","25-34","55-64",35
"62",2013,2,"Boston","21-24","25-34",30
"63",2013,1,"Boston","35-44","35-44",25
"64",2013,2,"Boston","35-44","55-64",45
"65",2013,2,"Boston","25-34","35-44",45
"66",2013,2,"Boston","25-34","45-54",30
"67",2013,1,"Boston","25-34","25-34",35
"68",2013,3,"Boston","25-34","65-74",55
"69",2013,2,"Boston","25-34","45-54",35
"70",2013,2,"Boston","21-24","45-54",25
"71",2013,1,"Boston","25-34","25-34",45
"72",2013,1,"Boston","21-24","21-24",45
"73",2013,2,"Boston","45-54","65-74",45
"74",2013,2,"Boston","35-44","35-44",45
"75",2013,2,"Boston","25-34","25-34",45
"76",2013,3,"Boston","21-24","45-54",45
"77",2013,2,"Boston","55-64","65-74",15
"78",2013,2,"Boston","35-44","65-74",30
"79",2013,1,"Boston","45-54","45-54",30
"80",2013,2,"Boston","25-34","75-84",30
"81",2013,2,"Boston","21-24","45-54",55
"82",2013,2,"Boston","25-34","55-64",35
"83",2013,3,"Boston","25-34","35-44",55
"84",2013,1,"Boston","18-20","18-20",35
"85",2013,2,"Boston","35-44","45-54",30
"86",2013,2,"Boston","35-44","35-44",35
"87",2013,1,"Boston","65-74","65-74",30
"88",2013,3,"Boston","25-34","45-54",30
"89",2013,3,"Boston","18-20","45-54",35
"90",2013,2,"Boston","35-44","45-54",55
"91",2013,2,"Boston",NA,NA,30
"92",2013,2,"Boston","25-34","25-34",30
"93",2013,2,"Boston","21-24","25-34",30
"94",2013,2,"Boston","21-24","45-54",40
"95",2013,2,"Boston","35-44","45-54",30
"96",2013,2,"Boston","25-34","35-44",30
"97",2013,1,"Boston","25-34","25-34",30
"98",2013,2,"Boston","35-44","65-74",55
"99",2013,1,"Boston","35-44","35-44",45
"100",2013,1,"Boston","25-34","25-34",35
"101",2013,2,"Boston","18-20","45-54",55
"102",2013,2,"Boston","18-20","25-34",NA
"103",2013,2,"Boston","25-34","25-34",45
"104",2013,2,"Boston","35-44","45-54",25
"105",2013,2,"Boston","25-34","35-44",55
"106",2013,2,"Boston","45-54","55-64",NA
"107",2013,2,"Boston","25-34","55-64",55
"108",2013,1,"Boston",NA,NA,25
"109",2013,2,"Boston","25-34","45-54",45
"110",2013,2,"Boston","16-17","55-64",NA
"111",2013,2,"Boston","35-44","45-54",35
"112",2013,3,"Boston","25-34","45-54",40
"113",2013,1,"Boston",NA,NA,35
"114",2013,1,"Boston","21-24","21-24",45
"115",2013,2,"Boston","25-34","65-74",45
"116",2013,2,"Boston","21-24","21-24",45
"117",2013,3,"Boston","21-24","55-64",NA
"118",2013,2,"Boston","25-34","45-54",30
"119",2013,1,"Boston","18-20","18-20",35
"120",2013,1,"Boston","25-34","25-34",45
"121",2013,1,"Boston","18-20","18-20",25
"122",2013,2,"Boston","21-24","55-64",30
"123",2013,2,"Boston","25-34","55-64",55
"124",2013,2,"Boston","21-24","25-34",65
"125",2013,2,"Boston","21-24","25-34",35
"126",2013,1,"Boston","21-24","21-24",55
"127",2013,2,"Boston","21-24","65-74",30
"128",2013,2,"Boston","45-54","55-64",55
"129",2013,1,"Boston","55-64","55-64",25
"130",2013,2,"Boston","25-34","25-34",30
"131",2013,2,"Boston","35-44","55-64",30
"132",2013,2,"Boston","18-20","25-34",55
"133",2013,3,"Boston","35-44","45-54",55
"134",2013,2,"Boston","35-44","55-64",35
"135",2013,2,"Boston","25-34","25-34",55
"136",2013,2,"Boston","35-44","55-64",55
"137",2013,2,"Boston","25-34","55-64",55
"138",2013,2,"Boston","35-44","45-54",NA
"139",2013,1,"Boston","45-54","45-54",35
"140",2013,1,"Boston","35-44","35-44",35
"141",2013,2,"Boston","25-34","45-54",30
"142",2013,2,"Boston","35-44","35-44",55
"143",2013,3,"Boston","25-34","35-44",55
"144",2013,2,"Boston","21-24","35-44",40
"145",2013,2,"Boston","21-24","35-44",55
"146",2013,1,"Boston",">84",">84",25
"147",2013,3,"Boston","35-44","45-54",30
"148",2013,2,"Boston","25-34","35-44",35
"149",2013,2,"Boston","21-24","25-34",30
"150",2013,1,"Boston","35-44","35-44",15
"151",2013,2,"Boston","45-54","45-54",30
"152",2013,2,"Boston","25-34","25-34",45
"153",2013,2,"Boston","18-20","25-34",30
"154",2013,1,"Boston","18-20","18-20",30
"155",2013,3,"Boston","35-44","55-64",30
"156",2013,2,"Boston","35-44","55-64",30
"157",2013,2,"Boston","18-20","55-64",30
"158",2013,2,"Boston","21-24","55-64",30
"159",2013,2,"Boston","45-54","45-54",35
