title,gross,total_gross,distributor,release_date_JP,release_year_JP,title_short,re_released,id,genres,original_language,overview,popularity,production_companies,release_date_World,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,_merge,date_difference,region,anime
Æon Flux,5324923,5324923,Gaga,2006-03-11,2006,æonflux,False,8202.0,Science Fiction-Action-Thriller,en,400 years into the future disease has wiped out the majority of the world's population except one walled city Bregna ruled by a congress of scientists. When Æon Flux the top operative in the underground 'Monican' rebellion is sent on a mission to kill a government leader she uncovers a world of secrets.,14.86,Paramount-Lakeshore Entertainment-MTV Films-Colossal Pictures-Valhalla Motion Pictures-MTV Productions,2005-11-30,62000000.0,53321673.0,93.0,Released,The Perfect World Meets The Perfect Assassin,5.6,1923.0,Charlize Theron-Marton Csokas-Jonny Lee Miller-Sophie Okonedo-Frances McDormand-Pete Postlethwaite-Amelia Warner-Caroline Chikezie-Paterson Joseph-Nikolai Kinski-Yangzom Brauen-Aoibheann O'Hara-Thomas Huber-Maverick Quek-Ralph Herforth-Megan Gay-Rainer Will-Ronald Marx-Axel Schreiber-Shaun Lawton-Betty Okino-Anatole Taubman-Lavinia Wilson-Khira Lilli Pobanz-William Morts-Phil Hay-Nils Dommning-Bojan Heyn-Marianne Sonneck-Joost Siedhoff-Narges Rashidi-Robin Gooch-Martha Fessehatzion-Milton Welsh-Mehmet Yilmaz-Natacza Boon-Lilja Loeffler-Michael Pink-Bruno Bruni Jr.,both,101 days,Foreign,0
xXx: Return of Xander Cage,4317074,4596170,Paramount Pictures International,2017-02-24,2017,xxx:returnofxandercage,False,47971.0,Action-Adventure-Crime,en,Extreme athlete turned government operative Xander Cage comes out of self-imposed exile thought to be long dead and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.,80.549,Paramount-Revolution Studios-One Race-Shanghai Film Group-Huahua Media-Rox Productions-Maple Cage Productions-Roth-Kirschenbaum Films,2017-01-13,85000000.0,346147658.0,107.0,Released,"There are no more patriots, just rebels and tyrants.",6.131,8293.0,Vin Diesel-Donnie Yen-Deepika Padukone-Kris Wu-Ruby Rose-Tony Jaa-Nina Dobrev-Rory McCann-Toni Collette-Samuel L. Jackson-Ice Cube-Hermione Corfield-Michael Bisping-Shawn Roberts-Tony Gonzalez-Ariadna Gutiérrez-Andrey Ivchenko-Nicky Jam-Neymar Jr-Al Sapienza-Helena-Alexis Seymour-Megan Soo-Kristen Kurnik-Bailey Rose King-Pilar Cruz-Charles Carroll-Héctor Aníbal-Curtis Fletcher-Terry Chen-Jenny Itwaru-Julie Abcede-Josh Pagcaliwangan-Nyjah Huston-Roberta Mancino-Nina Buitrago-Dani Lightningbolt-Courtney Friel-Jelena Savić,both,42 days,Foreign,0
xXx,13238396,13238396,-,2002-10-26,2002,xxx,False,7451.0,Action-Adventure-Thriller,en,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world led by the nihilistic Yorgi.",26.515,Columbia Pictures-Sony Pictures-Original Film-Revolution Studios,2002-08-09,70000000.0,277448382.0,124.0,Released,A New Breed Of Secret Agent.,5.9,3717.0,Vin Diesel-Asia Argento-Samuel L. Jackson-Leila Arcieri-Marton Csokas-Eve Jeffers Cooper-Jan Filipenský-Michael Roof-Danny Trejo-Richy Müller-Werner Daehn-Tom Everett-Thomas Ian Griffith-Joe Bucaro III-Chris Gann-Martin Hub-Petr Jákl-William Hope-Ted Maynard-David Asman-Till Lindemann-Richard Kruspe-Christian Lorenz-Paul Landers-Oliver Riedel-Christoph Schneider-Tony Hawk-Mat Hoffman-Mike Vallely-Jason Ellis-Alena Cihalikova-Martina Smuková,both,78 days,Foreign,0
s.CRY.ed,141055,141055,The Klockworx,2011-11-19,2011,s.cry.ed,False,,,,,,,,,,,,,,,,left_only,,Unknown,1
"Zyuden Sentai Kyoryuger vs. Go-Busters: Dinosaur Great Battle! Farewell, Eternal Friends",3856712,3856712,Toei Company,2014-01-18,2014,"zyudensentaikyoryugervs.go-busters:dinosaurgreatbattle!farewell,eternalfriends",False,,"Action, Adventure, Family",ja,,,,,,,,,,,,,left_only,,Japan,0
Zootopia,70127286,70127286,Walt Disney Pictures,2016-04-23,2016,zootopia,False,269149.0,Animation-Adventure-Family-Comedy,en,Determined to prove herself Officer Judy Hopps the first bunny on Zootopia's police force jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.,111.664,Walt Disney Pictures-Walt Disney Animation Studios,2016-02-11,150000000.0,1023784195.0,109.0,Released,Welcome to the urban jungle.,7.746,14669.0,Jason Bateman-Ginnifer Goodwin-Idris Elba-Jenny Slate-Nate Torrence-Bonnie Hunt-Don Lake-Tommy Chong-J.K. Simmons-Octavia Spencer-Alan Tudyk-Shakira-Raymond S. Persi-Della Saba-Maurice LaMarche-Phil Johnston-Fuschia!-John DiMaggio-Katie Lowes-Gita Reddy-Jesse Corti-Tom 'Tiny' Lister Jr.-Josh Dallas-Leah Latham-Rich Moore-Kath Soucie-Peter Mansbridge-Byron Howard-Jared Bush-Mark Rhino Smith-Josie Trinidad-John Lavelle-Kristen Bell-Evelyn Wilson Bresee-Hewitt Bush-Jill Cordes-Madeleine Curry-Terri Douglas-Melissa Goodwin Shepherd-Zach King-Dave Kohut-Jeremy Milton-Pace Paulsen-Fabienne Rawley-Bradford Simonsen-Claire K. Smith-Jackson Stein-David A. Thibodeau-Hannah G. Williams-Daveed Diggs,both,72 days,Foreign,1
Zookeeper,19524,63841,Sony Pictures Releasing,2011-07-06,2011,zookeeper,False,38317.0,Comedy-Romance-Family,en,Kindhearted Griffin Keyes is one of the best-loved caretakers at the Franklin Park Zoo but since he is more comfortable with the animals than with females of his own species his love life is lacking. When Griffin decides that the only way to get a girlfriend is to find a more-glamorous career the animals panic. To keep him from leaving they reveal their secret ability to talk and offer to teach him the rules of courtship animal-style.,25.449,Broken Road Productions-Zookeeper Productions-Hey Eddie-Happy Madison Productions,2011-07-06,80000000.0,169852759.0,102.0,Released,Welcome to his jungle.,5.418,1444.0,Kevin James-Rosario Dawson-Leslie Bibb-Ken Jeong-Donnie Wahlberg-Joe Rogan-Nat Faxon-Steffiana De La Cruz-Nick Bakay-Jackie Sandler-Nicholas Turturro-Thomas Gottschalk-Brandon Keener-Robin Bakay-Gary Valentine-Tanner Blaze-Tim Gage-Gino Falsetto-Etienne Deneault-Katrina Begin-Matthew R. Staley-Michael Burton-Todd Zeile-Mookie Barker-Tara Giordano-Dean-Daniel Guire-Mark DellaGrotte-Ellen Colton-Barry Bernardi-Juston McKinney-Nick Nolte-Adam Sandler-Sylvester Stallone-Cher-Judd Apatow-Jon Favreau-Faizon Love-Maya Rudolph-Bas Rutten-Don Rickles-Jim Breuer-Richie Minervini-Tom Woodruff Jr.-Garon Michael-Dan Marshall-Crystal the Monkey-Bart the Bear II,both,0 days,Foreign,0
Zombieland: Double Tap,1046319,1163993,Sony Pictures Releasing,2019-11-22,2019,zombieland:doubletap,False,338967.0,Comedy-Horror,en,Columbus Tallahassee Wichita and Little Rock move to the American heartland as they face off against evolved zombies fellow survivors and the growing pains of the snarky makeshift family.,43.04,Pariah-Columbia Pictures-2.0 Entertainment,2019-10-09,42000000.0,122801777.0,99.0,Released,,6.973,4932.0,Woody Harrelson-Jesse Eisenberg-Emma Stone-Abigail Breslin-Rosario Dawson-Zoey Deutch-Luke Wilson-Avan Jogia-Thomas Middleditch-Victoria Hall-Victor Rivera-Ian Gregg-Devin Mojica-Rachel Luttrell-John Dixon-Ronny Mathew-Jess Durham-David Fleischer-Jenin Gonzalez-Felix Betancourt-Lucas Fleischer-Gianni Biasetti Jr.-Ari Loeb-Anthony Dilio-Bill Murray-Julia Vasi-Al Roker-Lili Estefan-Joshua Alex Horowitz-Grace Randolph-Sergio Briones-Timothy Carr-Nathan W. Collins-Isabelle Fretheim-Brianna Gardner-Kyra Elise Gardner-Kandis Hargrave-Julian B Lin-Louie g Maldonado-Tim McAdams-Andrew R. McCallister-Zara McDowell-Jessica Medina-Oscar Rodriguez III-MWW Michael Wilkerson-Otis Winston-Lewis Wright,both,44 days,Foreign,0
Zombieland,56799,56799,-,2010-07-24,2010,zombieland,False,19908.0,Comedy-Horror,en,Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did he'd kick their ever-living ass. In a world overrun by zombies these two are perfectly evolved survivors. But now they're about to stare down the most terrifying prospect of all: each other.,57.752,Columbia Pictures-Relativity Media-Pariah,2009-10-07,23600000.0,102391540.0,88.0,Released,Nut up or shut up.,7.262,10907.0,Woody Harrelson-Jesse Eisenberg-Emma Stone-Abigail Breslin-Amber Heard-Bill Murray-Derek Graf-Elle Alexander-Melanie Booth-Chris Burns-Blaise Corrigan-Sydnie Dawson-Christina Klein-Amir Kovacs-Shaun Michael Lynch-Lynn McArthur-Jade Moser-Justin Price-Michelle Sebek-Victory Van Tuyl-Mike White,both,290 days,Foreign,0
Zoku Owarimonogatari,926600,926600,Aniplex,2018-11-10,2018,zokuowarimonogatari,False,553296.0,Animation,ja,The morning after his high school graduation ceremony Araragi goes to the bathroom to wash his face but is struck by the sensation that his reflection is watching him. Touching the mirror Araragi’s hand passes straight through and he is sucked into a mysterious world.,5.076,SHAFT,2018-11-10,0.0,0.0,148.0,Released,,7.2,22.0,Hiroshi Kamiya-Eri Kitamura-Yuka Iguchi-Emiri Kato-Yui Horie-Miyuki Sawashiro-Marina Inoue-Saori Hayami-Kana Hanazawa-Chiwa Saito-Maaya Sakamoto-Michiko Neya,both,0 days,Japan,1
